Email (Subject +Body),Label
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: Permintaan Info Layanan Pijar Sekolah 
Body: Salam hangat, We're planning a campus-wide tech upgrade and found Pijar Sekolah relevant. Could you provide an updated productBrochure and pricing model? We are currently evaluating several solutions and would appreciate if you could provide detailed information including pricing tiers, support availability, and coverage area. Also, if you have documentation orBrochures, please include them. Terima kasih atas perhatian danBantuannya. Salam, Fadli - IT Support PT Maju Jaya",Follow-Up Needed
"Subject:ButuhBantuan untuk mengirim draft dokumen terkait layanan Netmonk untuk klien PD Hutagalung Yuniar Tbk. 
Body: Kalau ada waktuBisa diskusi sebentar, karena kami perlu responnya segera. Thanks ya, Kayla –Billing Internal Coordination",Follow-Up Needed
"Subject: Kami mau follow up soal draft proposal yang akan dikirim ke klien. 
Body: Info dari tim AM akan sangat membantu agar kamiBisa tindak lanjuti dari sisi internal. Thanks sebelumnya, Caraka – Procurement Internal Coordination",Follow-Up Needed
"Subject: Kami dari tim service delivery ingin mengonfirmasi status implementasi yangBerkaitan dengan implementasiBigBox untuk Perum Purwanti Mayasari Tbk. 
Body: MohonBantuannya agar proses iniBisa segera dilanjutkan sesuai timeline. Terima kasih, Perkasa – Service Delivery Internal Coordination",Follow-Up Needed
"Subject: Kami dari timBilling ingin memerlukan klarifikasi yangBerkaitan dengan implementasi Antares Eazy untuk PD Suryono Tbk.
Body: MohonBantuannya agar proses iniBisa segera dilanjutkan sesuai timeline. Terima kasih, Gasti –Billing Internal Coordination",Follow-Up Needed
"Subject:ButuhBantuan untuk melaporkan kendala terkait layanan Netmonk untuk klien PT Uyainah Saefullah. 
Body: Kalau ada waktuBisa diskusi sebentar, karena kami perlu responnya segera. Thanks ya, Elon – Data Solution Internal Coordination",Follow-Up Needed
"Subject: Kami dari tim service delivery ingin melaporkan kendala yangBerkaitan dengan implementasiBigBox untuk UD Hartati.
Body: MohonBantuannya agar proses iniBisa segera dilanjutkan sesuai timeline. Terima kasih, Cakrawangsa – Service Delivery Internal Coordination",Follow-Up Needed
"Subject: Follow-up on VPN Access Issue
Body: Dear team, following last week’s report, has thereBeen any improvement in VPN access for our remote staff? Kindly update.",Follow-Up Needed
"Subject: Konfirmasi Status ProposalBigBox
Body: Halo Kak Farah, kami masih menunggu update terkait draft proposalBigBox yang diajukan ke PT Purwanti Mayasari Tbk. Mohon kabarnya.",Follow-Up Needed
"Subject: Reminder – SLA Document for Pijar Sekolah
Body: Dear Account Manager, could you please confirm if the SLA document for Pijar Sekolah hasBeen reviewed and finalized?",Follow-Up Needed
"Subject: Update Permintaan Trial Wifi Manage Service
Body: Hi team, any progress on the requested Wifi Manage Service demo for the client this week? They’re awaiting scheduling info.",Follow-Up Needed
"Subject: Tindak Lanjut Review Implementasi OCA
Body: Pagi Kak Linda, mohon update dari sisi engineering terkait hasil testing layanan OCA kemarin. Klien menanyakan laporan finalnya.",Follow-Up Needed
"Subject: Konfirmasi Status Proposal OCA
Body: Hai Kak Della, apakah draft proposal OCA sudah dikirimkan ke tim legal? Kami ingin segera lanjutkan review internalnya.",Follow-Up Needed
"Subject: Update SLA Wifi Manage Service
Body: Dear Team, mohon konfirmasi apakah dokumen SLA untuk Wifi Manage Service sudah diterima dari tim teknis. Klien menanyakan kelengkapannya.",Follow-Up Needed
"Subject: Follow-up Finalisasi Demo Netmonk
Body: Halo Kak Indra, kapan demo untuk Netmonk dapat dijadwalkan? Klien UD Hartati meminta kepastian waktu agarBisa atur internal alignment.",Follow-Up Needed
"Subject: Konfirmasi Timeline ImplementasiBigBox
Body: Pagi Kak Rani, status jadwal implementasiBigBox untuk klien CV Widodo RahimahBagaimana ya? Tim kamiButuh kepastian untuk koordinasi ke vendor.",Follow-Up Needed
"Subject: Request Feedback Testing PaDi UMKM
Body: Dear Account Manager, apakah sudah ada update dari hasil UAT PaDi UMKM kemarin? KamiButuh feedback untuk dokumen handover.",Follow-Up Needed
"Subject: Permintaan Klarifikasi Integrasi ERP Antares Eazy
Body: Halo Tim, mohon info detail skema integrasi Antares Eazy ke ERP yang diminta klien PD Suryono. Tim Dev menunggu input untuk simulasi teknis.",Follow-Up Needed
"Subject: Follow-up ApprovalBandwidth Netmonk
Body: Selamat pagi, status persetujuan kapasitasBandwidth Netmonk oleh tim Infra seperti apa? Tim AM meminta info untuk update klien hari ini.",Follow-Up Needed
"Subject: Konfirmasi Status Whitepaper Pijar Sekolah
Body: Hai Kak Ferdi, apakah whitepaper Pijar Sekolah sudah dikirim ke Fadli dari PT Maju Jaya? Mereka tunggu dokumen tersebut sebelum FGD.",Follow-Up Needed
"Subject: Tindak Lanjut Meeting Implementasi neuCentrIX
Body: Pagi Kak Wulan, apakah jadwal meeting dengan tim teknis neuCentrIX sudah dikonfirmasi? Kami perlu update untuk agenda rollout minggu depan.",Follow-Up Needed
"Subject: Reminder Draft Proposal Indibiz
Body: Halo TimBidang Produk, klien PT Sinergi Global menunggu draft proposal Indibiz. Mohon update-nya ya, agarBisa segera kami follow-up.",Follow-Up Needed
"Subject: Konfirmasi Status Proposal OCA
Body: Hai Kak Della, apakah draft proposal OCA sudah dikirimkan ke tim legal? Kami ingin segera lanjutkan review internalnya.",Follow-Up Needed
"Subject: Update SLA Wifi Manage Service
Body: Dear Team, mohon konfirmasi apakah dokumen SLA untuk Wifi Manage Service sudah diterima dari tim teknis. Klien menanyakan kelengkapannya.",Follow-Up Needed
"Subject: Follow-up Finalisasi Demo Netmonk
Body: Halo Kak Indra, kapan demo untuk Netmonk dapat dijadwalkan? Klien UD Hartati meminta kepastian waktu agarBisa atur internal alignment.",Follow-Up Needed
"Subject: Konfirmasi Timeline ImplementasiBigBox
Body: Pagi Kak Rani, status jadwal implementasiBigBox untuk klien CV Widodo RahimahBagaimana ya? Tim kamiButuh kepastian untuk koordinasi ke vendor.",Follow-Up Needed
